Speed of water,,,,,,Hall Voltage,,,,,,,Magnetic field,
Volume (mL),Mass (g),Volume from mass (L),Time (s),Q (V/t),Av Q Val m^3/s,Pump current (A),Pump voltage (V),Hall Voltage (V),,,Average hall voltage (V),Velocity m/s,Separation ,Field strength
0,92,\/ We have subtracted 92mL from the values here \/,0,m^3/s,,error 0.2A,,,,,std method?,(4Q/pi*d^2),35.83mm ,??
,,,,,,,,,,,,,,
900,962,0.87,4.53,0.00019,,1.61,8.1,0.010200,0.008800,0.010,0.009608,1.501,Tube diameter,0.00
820,904,0.812,5.06,0.00016,,1.61,8.1,,,,,,11.95mm,0.00
860,930,0.838,5.5,0.00015,0.00017,1.61,8.1,,,,,,0.01195m,0.00
,,,,,,,,,,,,,,0.00
900,951,0.859,5.06,0.00017,,,9,0.011125,0.010850,0.010,0.010775,1.535,,0.00
900,957,0.865,4.94,0.00018,,,9,,,,,,,0.00
840,912,0.82,4.78,0.00017,0.00017,1.87,9,,,,,,,0.00
,,,,,,,,,,,,,,0.00
800,859,0.767,4.1,0.00019,,,10.1,0.012250,0.011825,0.012,0.011925,1.751,,0.00
875,937,0.845,4.09,0.00021,,,10.1,,,,,,,0.00
875,928,0.836,4.28,0.00020,0.00020,2.18,10.1,,,,,,,0.00
,,,,,,,,,,,,,,0.00
850,910,0.818,4.06,0.00020,,,11.1,0.012500,0.012875,0.013,0.012650,1.851,,0.00
850,905,0.813,3.97,0.00020,,,11.1,,,,,,,0.00
875,936,0.844,3.9,0.00022,0.00021,2.5,11.1,,,,,,,0.00
,,,,,,,,,,,,,,0.00
875,949,0.857,3.85,0.00022,,,12,0.013250,0.014375,0.014,0.013917,1.980,,0.00
875,941,0.849,3.78,0.00022,,,12,,,,,,,0.00
900,981,0.889,4.06,0.00022,0.00022,2.75,12,,,,,,,0.00
